límite,tiempo_básico_segundos,tiempo_mejorado_segundos
100,6.616699829464778e-05,2.258300082758069e-05
500,0.0014778749973629601,0.00015729200094938278
1000,0.006521249997604173,0.0006087079964345321
2000,0.018163332999392878,0.0010492920046090148
5000,0.1333130830025766,0.004855750004935544
10000,0.5974928750001709,0.008562458002415951
