limite,tiempo_basico_segundos,tiempo_mejorado_segundos
100,0.000383167000109097,4.770799932884984e-05
500,0.0020297910014051013,0.0005425419985840563
1000,0.004735665999760386,0.0004042920008942019
2000,0.018254916001751553,0.0012977910009794869
5000,0.09432933300195145,0.0032011670009524096
10000,0.5373496659994998,0.010316290998162003
